"Part";"Value";"Device";"Package";"Description";"CATEGORY";"DESCRIPTION";"MANUFACTURER";"MPN";"OPERATING_TEMPERATURE";"PARTREV";"PART_STATUS";"ROHS_COMPLIANCE";"SERIES";"STANDARD";"SUB-CATEGORY";"THERMALLOSS";"TYPE";
"B1";"TL3360DF185AQ";"TL3360DF185AQ";"TL3360DF185AQ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"B2";"TL3360DF185AQ";"TL3360DF185AQ";"TL3360DF185AQ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"B3";"TL3360DF185AQ";"TL3360DF185AQ";"TL3360DF185AQ";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"100uF";"CAP-ELEC-POL-320X500630X6";"CAP_6.45MMX6MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"100uF";"CAP-ELEC-POL-320X500630X6";"CAP_6.45MMX6MM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"15uF";"A700";"V/7343–20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C4";"68uF";"A700D";"D/7343–20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C5";"68uF";"A700D";"D/7343–20";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C6";"100nF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C7";"10uF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C8";"10uF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C9";"10uF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C10";"1uF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C11";"0.1uF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C12";"0.1uF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C13";"0.1uF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C14";"0.22uF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C15";"0.22uF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C16";"";"CERAMIC_CAPACITOR1206";"1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C17";"";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C18";"";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C19";"0.1uF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C20";"0.22uF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C21";"0.22uF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C22";"";"CERAMIC_CAPACITOR1206";"1206";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C23";"";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C24";"";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C25";"100nF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C26";"100nF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C27";"100nF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C28";"100nF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C29";"100nF";"CERAMIC_CAPACITOR0603";"0603";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CMPS12";"CMPS12";"CMPS12";"CMPS12";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CON1";"HDR1X4";"HDR1X4";"HDR1X4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CON2";"HDR1X4";"HDR1X4";"HDR1X4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CON3";"TB002-500-02BEHM_TGE";"TB002-500-02BEHM_TGE";"TB002-500-02BE_HM";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"CON4";"T1M-04-F-SV-L";"T1M-04-F-SV-L";"SAMTEC_T1M-04-F-SV-L";"1MM TERMINAL STRIP, 5PINS.";"";"";"Samtec";"";"";"C";"";"";"";"Manufacturer Recommendations";"";"";"";
"CON5";"T1M-04-F-SV-L";"T1M-04-F-SV-L";"SAMTEC_T1M-04-F-SV-L";"1MM TERMINAL STRIP, 5PINS.";"";"";"Samtec";"";"";"C";"";"";"";"Manufacturer Recommendations";"";"";"";
"CON7";"T1M-06-F-SV-L";"T1M-06-F-SV-L";"SAMTEC_T1M-06-F-SV-L";"";"";"";"SAMTEC ";"";"";"";"";"";"";"";"";"";"";
"D1";"BSY10";"BSY10";"BYS10";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D2";"NEOPIXEL_RGBSIDE";"NEOPIXEL_RGBSIDE";"NEOPIXEL_SIDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"NEOPIXEL_RGBSIDE";"NEOPIXEL_RGBSIDE";"NEOPIXEL_SIDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D4";"NEOPIXEL_RGBSIDE";"NEOPIXEL_RGBSIDE";"NEOPIXEL_SIDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D5";"NEOPIXEL_RGBSIDE";"NEOPIXEL_RGBSIDE";"NEOPIXEL_SIDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D6";"NEOPIXEL_RGBSIDE";"NEOPIXEL_RGBSIDE";"NEOPIXEL_SIDE";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
