"Qty";"Value";"Device";"Package";"Parts";"Description";"CATEGORY";"DESCRIPTION";"MANUFACTURER";"MPN";"OPERATING_TEMPERATURE";"PARTREV";"PART_STATUS";"ROHS_COMPLIANCE";"SERIES";"STANDARD";"SUB-CATEGORY";"THERMALLOSS";"TYPE";
"4";"";"CERAMIC_CAPACITOR0603";"0603";"C17, C18, C23, C24";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"CERAMIC_CAPACITOR1206";"1206";"C16, C22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"CP2104";"QFN24_4MM_SMSC";"U1";"CP2104 - USB to UART Bridge";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"";"RESISTOR0603";"0603";"R1, R18, R19, R20, R21, R22";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"TRANSISTOR_NPNSOT23-3";"SOT23-3";"Q1, Q2";"Transistor NPN";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"USB";"USB_MICRO_SMT";"X2";"USB Connectors";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"0";"RESISTOR0603";"0603";"R13, R27";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"0.068";"RESISTOR0805";"0805";"RS1, RS2, RS3, RS4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"0.1uF";"CERAMIC_CAPACITOR0603";"0603";"C11, C12, C13, C19";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"0.22uF";"CERAMIC_CAPACITOR0603";"0603";"C14, C15, C20, C21";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100k";"RESISTOR0603";"0603";"R11";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"100nF";"CERAMIC_CAPACITOR0603";"0603";"C6, C25, C26, C27, C28, C29";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"100uF";"CAP-ELEC-POL-320X500630X6";"CAP_6.45MMX6MM";"C1, C2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
